id,label,prediction,probability,input_text
13,1,0,0.8351904153823853,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
22,0,1,0.9932328462600708,holden caulfield did it better . 
69,0,1,0.9167522192001343,"this one is definitely one to skip , even for horror movie fanatics . "
83,1,0,0.9713361859321594,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . "
87,1,0,0.9940500259399414,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
92,0,1,0.996161699295044,"you wo n't like roger , but you will quickly recognize him . "
95,0,1,0.9985911250114441,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
112,1,0,0.9931958913803101,hilariously inept and ridiculous . 
115,0,1,0.9614590406417847,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.9675196409225464,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
121,0,1,0.9966512322425842,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so 
122,1,0,0.501099169254303,old-form moviemaking at its best . 
135,0,1,0.5793936848640442,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . "
142,1,0,0.9858776330947876,what better message than ` love thyself ' could young women of any size receive ? 
145,0,1,0.9777790307998657,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 
147,0,1,0.9205805659294128,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . 
158,0,1,0.9631845355033875,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . "
171,0,1,0.9959545135498047,rarely has leukemia looked so shimmering and benign . 
172,1,0,0.7571858167648315,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 
183,0,1,0.9976773858070374,"the lower your expectations , the more you 'll enjoy it . "
184,0,1,0.953101634979248,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . "
190,0,1,0.9181798100471497,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' "
195,1,0,0.9394070506095886,my thoughts were focused on the characters . 
200,1,0,0.5549188256263733,"the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups . "
218,0,1,0.9286467432975769,"all that 's missing is the spontaneity , originality and delight . "
230,1,0,0.8302541971206665,reign of fire looks as if it was made without much thought -- and is best watched that way . 
248,1,0,0.9685885906219482,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . "
253,0,1,0.745465874671936,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . "
266,1,0,0.9781110286712646,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . "
271,1,0,0.9674978852272034,as unseemly as its title suggests . 
273,1,0,0.9716562628746033,"minority report is exactly what the title indicates , a report . "
