id,label,prediction,probability,input_text
6,0,1,0.9869242906570435,"While dioxin levels in the environment were up last year , they have dropped by 75 percent since the 1970s , said Caswell . | The Institute said dioxin levels in the environment have fallen by as much as 76 percent since the 1970s ."
25,1,0,0.6931653022766113,"Its closest living relatives are a family frogs called sooglossidae that are found only in the Seychelles in the Indian Ocean . | Its closest relative is found in the Seychelles Archipelago , near Madagascar in the Indian Ocean ."
35,0,1,0.9854699373245239,"Bush wanted "" to see an aircraft landing the same way that the pilots saw an aircraft landing , "" White House press secretary Ari Fleischer said yesterday . | On Tuesday , before Byrd 's speech , Fleischer said Bush wanted ' ' to see an aircraft landing the same way that the pilots saw an aircraft landing ."
60,0,1,0.9824450612068176,"Terri Schiavo , 39 , is expected to die sometime in the next two weeks in the Tampa-area hospice where she has spent the past several years . | Terri Schiavo , 39 , underwent the procedure at the Tampa Bay area hospice where she has been living for several years , said her father , Bob Schindler ."
76,0,1,0.9879711270332336,"McCabe said he was considered a witness , not a suspect . | "" He is not considered a suspect , "" McCabe said ."
80,0,1,0.6309335827827454,"On Saturday , a 149mph serve against Agassi equalled Rusedski 's world record . | On Saturday , Roddick equalled the world record with a 149 m.p.h. serve in beating Andre Agassi ."
85,0,1,0.6985913515090942,"Shattered Glass , "" starring Hayden Christensen as Stephen Glass , debuted well with $ 80,000 in eight theaters . | "" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist fired for fabricating stories _ debuted well with $ 80,000 in eight theaters ."
87,0,1,0.9106202125549316,"However , EPA officials would not confirm the 20 percent figure . | Only in the past few weeks have officials settled on the 20 percent figure ."
90,0,1,0.9859315156936646,"However , Lapidus expects foreign brands ' sales to be up 4 percent , driven by strong truck sales at Honda Motor Co . | Lapidus expects Ford to be down 5 percent , Chrysler down 10 percent and foreign brands up 4 percent driven by strong truck sales at Honda ."
93,0,1,0.9860077500343323,"Indonesia 's army has often been accused of human rights abuses during GAM 's battle for independence , charges it has generally denied while accusing the separatists of committing rights violations . | Indonesia 's army has been accused of human rights abuses during its earlier battles with GAM , charges it has generally denied ."
101,1,0,0.9371708631515503,"U.S. corporate bond yield spreads tightened in spotty trading on Friday as Wall Street labored to get back on its feet after the largest power outage ever in North America . | U.S. stocks rose slightly on feather-light volume on Friday , as Wall Street regrouped after the biggest-ever power outage in North America ."
104,0,1,0.8536443710327148,""" I don 't know if the person I 'm talking to now may end up being someone else at another time that may not follow the rules , "" Parrish said . | "" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said ."
114,0,1,0.9804151058197021,"Kansas Department of Health and Environment records show there were 88 abortions performed on girls age 14 and younger last year . | Statistics from the Kansas Department of Health and Environment show that 11,844 abortions were performed in the state last year ."
136,0,1,0.9345871806144714,"Vivace was founded in 1999 and has raised over $ 118 million in three rounds of venture financing . | During difficult times for technology venture capital , Vivace raised over $ 118 million in three rounds of venture financing ."
139,0,1,0.9900013208389282,Sun Microsystems Inc. on Thursday said it had added 100 new third-party systems and 100 new components to its Hardware Compatibility List for the Solaris x86 operating system Platform Edition . | The vendor has added 100 new third-party systems and 100 new components to the operating system 's Hardware Compatibility List ( HCL ) .
145,0,1,0.9760554432868958,"Bob Richter , a spokesman for House Speaker Tom Craddick , had no comment about the ruling . | Bob Richter , spokesman for Craddick , R-Midland , said the speaker had not seen the ruling and could not comment ."
148,1,0,0.670952320098877,"Broomhead was assigned to 2nd Squadron , 3rd Armor Cavalry Regiment , based at Fort Carson . | Broomhead , 34 , was assigned to the 2nd Squadron , 3rd Armored Cavalry Regiment ."
