id,label,prediction,probability,input_text
1,0,1,0.7271806001663208,"Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war . | His wife said he was "" 100 percent behind George Bush "" and looked forward to using his years of training in the war ."
2,0,1,0.7974621653556824,"The dollar was at 116.92 yen against the yen , flat on the session , and at 1.2891 against the Swiss franc , also flat . | The dollar was at 116.78 yen JPY = , virtually flat on the session , and at 1.2871 against the Swiss franc CHF = , down 0.1 percent ."
4,0,1,0.671851634979248,"No dates have been set for the civil or the criminal trial . | No dates have been set for the criminal or civil cases , but Shanley has pleaded not guilty ."
6,0,1,0.7463507056236267,"While dioxin levels in the environment were up last year , they have dropped by 75 percent since the 1970s , said Caswell . | The Institute said dioxin levels in the environment have fallen by as much as 76 percent since the 1970s ."
11,0,1,0.8037149906158447,""" Sanitation is poor ... there could be typhoid and cholera , "" he said . | "" Sanitation is poor , drinking water is generally left behind . . . there could be typhoid and cholera . """
21,1,0,0.5676389932632446,"Last month Intel raised its revenue guidance for the quarter to between $ 7.6 billion and $ 7.8 billion . | At the end of the second quarter , Intel initially predicted sales of between $ 6.9 billion and $ 7.5 billion ."
22,0,1,0.7384084463119507,"The driver , Eugene Rogers , helped to remove children from the bus , Wood said . | At the accident scene , the driver was "" covered in blood "" but helped to remove children , Wood said ."
25,1,0,0.5690181851387024,"Its closest living relatives are a family frogs called sooglossidae that are found only in the Seychelles in the Indian Ocean . | Its closest relative is found in the Seychelles Archipelago , near Madagascar in the Indian Ocean ."
26,0,1,0.679416835308075,Cooley said he expects Muhammad will similarly be called as a witness at a pretrial hearing for Malvo . | Lee Boyd Malvo will be called as a witness Wednesday in a pretrial hearing for fellow sniper suspect John Allen Muhammad .
30,0,1,0.6470329165458679,"With these assets , Funny Cide has a solid chance to become the first Triple Crown winner since Affirmed in 1978 . | Funny Cide is looking to become horse racing 's first Triple Crown winner in a generation ."
33,1,0,0.5018172860145569,"At community colleges , tuition will jump to $ 2,800 from $ 2,500 . | Community college students will see their tuition rise by $ 300 to $ 2,800 or 12 percent ."
35,0,1,0.8600253462791443,"Bush wanted "" to see an aircraft landing the same way that the pilots saw an aircraft landing , "" White House press secretary Ari Fleischer said yesterday . | On Tuesday , before Byrd 's speech , Fleischer said Bush wanted ' ' to see an aircraft landing the same way that the pilots saw an aircraft landing ."
