id,label,prediction,probability,input_text
13,1,0,0.7997826933860779,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
22,0,1,0.9658555388450623,holden caulfield did it better . 
69,0,1,0.7448751330375671,"this one is definitely one to skip , even for horror movie fanatics . "
87,1,0,0.8967481255531311,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
92,0,1,0.9988401532173157,"you wo n't like roger , but you will quickly recognize him . "
93,1,0,0.7228531241416931,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 
95,0,1,0.9988657236099243,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
112,1,0,0.8665854930877686,hilariously inept and ridiculous . 
115,0,1,0.970772385597229,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.9959657192230225,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
131,0,1,0.771662712097168,"in execution , this clever idea is far less funny than the original , killers from space . "
142,1,0,0.9692196846008301,what better message than ` love thyself ' could young women of any size receive ? 
171,0,1,0.9670889377593994,rarely has leukemia looked so shimmering and benign . 
172,1,0,0.9591097831726074,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 
183,0,1,0.9993502497673035,"the lower your expectations , the more you 'll enjoy it . "
200,1,0,0.510604977607727,"the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups . "
230,1,0,0.9970899820327759,reign of fire looks as if it was made without much thought -- and is best watched that way . 
248,1,0,0.6594622135162354,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . "
253,0,1,0.5987293124198914,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . "
266,1,0,0.9119976162910461,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . "
271,1,0,0.9973841309547424,as unseemly as its title suggests . 
273,1,0,0.9914532899856567,"minority report is exactly what the title indicates , a report . "
282,1,0,0.9972490668296814,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer "
312,0,1,0.8823328018188477,i 'll bet the video game is a lot more fun than the film . 
324,1,0,0.7957202196121216,"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . "
358,1,0,0.9793654680252075,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . 
399,0,1,0.9950259327888489,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . "
411,0,1,0.9760786294937134,"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . "
422,1,0,0.5616406202316284,"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . "
446,0,1,0.8563579320907593,"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap . "
447,1,0,0.851055383682251,"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes . "
464,1,0,0.9241921901702881,intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . 
494,0,1,0.8991077542304993,"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . "
501,1,0,0.9978844523429871,"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . "
509,1,0,0.9457950592041016,a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . 
519,0,1,0.99935382604599,moretti 's compelling anatomy of grief and the difficult process of adapting to loss . 
527,0,1,0.7421495318412781,it has all the excitement of eating oatmeal . 
544,0,1,0.999049723148346,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . "
546,1,0,0.9892411828041077,"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . "
561,1,0,0.892495334148407,"another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better . "
579,0,1,0.9544792771339417,"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . "
580,0,1,0.9875308871269226,"it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that . "
604,0,1,0.9640927910804749,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . 
626,1,0,0.9784460067749023,this flick is about as cool and crowd-pleasing as a documentary can get . 
643,1,0,0.8101409673690796,"the jabs it employs are short , carefully placed and dead-center . "
645,0,1,0.8879451751708984,"the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate . "
646,0,1,0.9893777966499329,"the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes . "
656,1,0,0.9820979237556458,"so much facile technique , such cute ideas , so little movie . "
673,1,0,0.987363874912262,"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why . "
685,1,0,0.994753360748291,no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes . 
695,0,1,0.9966232776641846,"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you . "
699,1,0,0.9928982257843018,"... routine , harmless diversion and little else . "
707,0,1,0.973442792892456,no telegraphing is too obvious or simplistic for this movie . 
724,0,1,0.9914786219596863,it 's everything you do n't go to the movies for . 
736,0,1,0.9810076355934143,american chai encourages rueful laughter at stereotypes only an indian-american would recognize . 
741,1,0,0.9215718507766724,but it still jingles in the pocket . 
749,1,0,0.8782917261123657,a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . 
760,1,0,0.7459121346473694,"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . "
764,0,1,0.9969052672386169,"movie fans , get ready to take off ... the other direction . "
771,0,1,0.9942566752433777,"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . "
791,0,1,0.9990888833999634,"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . "
812,1,0,0.534967303276062,this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . 
829,0,1,0.9947768449783325,teen movies have really hit the skids . 
832,0,1,0.9671370387077332,manages to show life in all of its banality when the intention is quite the opposite . 
846,0,1,0.9736842513084412,"an absurdist comedy about alienation , separation and loss . "
