id,label,prediction,probability,input_text
20,0,1,0.7565720081329346,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . "
22,0,1,0.9843483567237854,holden caulfield did it better . 
46,0,1,0.8678265810012817,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 
50,0,1,0.7420995235443115,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . "
69,0,1,0.5066903233528137,"this one is definitely one to skip , even for horror movie fanatics . "
70,0,1,0.8111087679862976,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . "
83,1,0,0.8724281787872314,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . "
87,1,0,0.629859209060669,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
92,0,1,0.8744704723358154,"you wo n't like roger , but you will quickly recognize him . "
93,1,0,0.9620510339736938,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 
95,0,1,0.9640339612960815,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
112,1,0,0.992530882358551,hilariously inept and ridiculous . 
115,0,1,0.8661018013954163,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.9619444012641907,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
135,0,1,0.6175034642219543,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . "
136,0,1,0.5874197483062744,looks and feels like a project better suited for the small screen . 
142,1,0,0.717999279499054,what better message than ` love thyself ' could young women of any size receive ? 
159,1,0,0.5539445281028748,"like leon , it 's frustrating and still oddly likable . "
171,0,1,0.536605715751648,rarely has leukemia looked so shimmering and benign . 
172,1,0,0.9328380823135376,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 
183,0,1,0.9865292310714722,"the lower your expectations , the more you 'll enjoy it . "
192,1,0,0.7003370523452759,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . "
194,1,0,0.8055150508880615,"instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life . "
205,1,0,0.8156704902648926,falls neatly into the category of good stupid fun . 
