id,label,prediction,probability,input_text
13,1,0,0.5562425255775452,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
22,0,1,0.7883394360542297,holden caulfield did it better . 
46,0,1,0.9719204902648926,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 
58,0,1,0.921951174736023,manages to be both repulsively sadistic and mundane . 
69,0,1,0.6056405901908875,"this one is definitely one to skip , even for horror movie fanatics . "
83,1,0,0.802010178565979,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . "
87,1,0,0.8993171453475952,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
92,0,1,0.8636323809623718,"you wo n't like roger , but you will quickly recognize him . "
93,1,0,0.9695051312446594,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 
95,0,1,0.9900676012039185,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
112,1,0,0.9966496825218201,hilariously inept and ridiculous . 
115,0,1,0.5393117666244507,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.918043851852417,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
142,1,0,0.9518766403198242,what better message than ` love thyself ' could young women of any size receive ? 
145,0,1,0.5175632834434509,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 
171,0,1,0.7802921533584595,rarely has leukemia looked so shimmering and benign . 
172,1,0,0.8457979559898376,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 
183,0,1,0.9960164427757263,"the lower your expectations , the more you 'll enjoy it . "
192,1,0,0.7650814652442932,"a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences . "
205,1,0,0.9439955949783325,falls neatly into the category of good stupid fun . 
218,0,1,0.9897583723068237,"all that 's missing is the spontaneity , originality and delight . "
230,1,0,0.9449025988578796,reign of fire looks as if it was made without much thought -- and is best watched that way . 
248,1,0,0.7993263006210327,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . "
266,1,0,0.9040398001670837,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . "
271,1,0,0.9587537050247192,as unseemly as its title suggests . 
273,1,0,0.7798438668251038,"minority report is exactly what the title indicates , a report . "
274,0,1,0.5851382613182068,"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . "
282,1,0,0.9907597303390503,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer "
284,0,1,0.5808351039886475,directed in a paint-by-numbers manner . 
292,0,1,0.9588159918785095,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . 
312,0,1,0.9340282082557678,i 'll bet the video game is a lot more fun than the film . 
354,1,0,0.9621663689613342,"the film is quiet , threatening and unforgettable . "
356,0,1,0.7100505232810974,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . "
358,1,0,0.8659748435020447,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . 
365,0,1,0.7722153663635254,"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . "
375,1,0,0.929264485836029,we have n't seen such hilarity since say it is n't so ! 
382,0,1,0.9699254631996155,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
399,0,1,0.7259777188301086,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . "
422,1,0,0.881722092628479,"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . "
440,1,0,0.826309084892273,"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . "
441,0,1,0.7767602205276489,"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill . "
446,0,1,0.6170750856399536,"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap . "
448,1,0,0.5837225914001465,"something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously . "
449,0,1,0.5377733707427979,oh come on . 
464,1,0,0.9550725817680359,intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject . 
478,0,1,0.6849705576896667,a by-the-numbers patient/doctor pic that covers all the usual ground 
494,0,1,0.8191375136375427,"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . "
501,1,0,0.9841219186782837,"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . "
509,1,0,0.7157175540924072,a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . 
513,0,1,0.661795973777771,"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . "
