id,label,prediction,probability,input_text
1,0,1,0.5601082444190979,unflinchingly bleak and desperate 
6,0,1,0.6134902238845825,a sometimes tedious film . 
9,0,1,0.5448848009109497,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . "
13,1,0,0.5709279775619507,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
20,0,1,0.5947221517562866,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . "
22,0,1,0.6237703561782837,holden caulfield did it better . 
33,0,1,0.6396156549453735,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . "
35,0,1,0.5479104518890381,a sequence of ridiculous shoot - 'em - up scenes . 
37,0,1,0.7001276612281799,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . "
46,0,1,0.8701821565628052,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 
50,0,1,0.5144070982933044,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . "
54,0,1,0.526975691318512,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 
58,0,1,0.6896639466285706,manages to be both repulsively sadistic and mundane . 
64,0,1,0.5198906064033508,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . "
70,0,1,0.6360152363777161,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . "
83,1,0,0.5055587291717529,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . "
87,1,0,0.5963312983512878,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
88,1,0,0.5909033417701721,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 
90,1,0,0.6315170526504517,"it 's a scattershot affair , but when it hits its mark it 's brilliant . "
92,0,1,0.624658465385437,"you wo n't like roger , but you will quickly recognize him . "
95,0,1,0.7481208443641663,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
96,0,1,0.6147696375846863,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . "
97,1,0,0.5108123421669006,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . "
101,0,1,0.6291186809539795,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . "
104,1,0,0.539946436882019,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . "
110,0,1,0.7236236929893494,"scores no points for originality , wit , or intelligence . "
112,1,0,0.5418075323104858,hilariously inept and ridiculous . 
115,0,1,0.829648494720459,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.6168444156646729,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
124,1,0,0.696482241153717,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . "
130,0,1,0.7152631878852844,suffers from the lack of a compelling or comprehensible narrative . 
