id,label,prediction,probability,input_text
1,0,1,0.6597535610198975,"Yet, we now are discovering that antibiotics are losing their effectiveness against illness. Disease-causing bacteria are mutating faster than we can come up with new antibiotics to fight the new variations. | Bacteria is winning the war against antibiotics."
2,1,0,0.8677034378051758,"Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps. | 15 million tonnes of rubbish are produced daily in Cairo."
11,1,0,0.8300506472587585,"In a bowl, whisk together the eggs and sugar until completely blended and frothy. | In a bowl, whisk together the egg, sugar and vanilla until light in color."
12,1,0,0.5207870602607727,"In Nigeria, by far the most populous country in sub-Saharan Africa, over 2.7 million people are infected with HIV. | 2.7 percent of the people infected with HIV live in Africa."
16,1,0,0.8722114562988281,"Mice given a substance found in red wine lived longer despite a fatty diet, a study shows. | Mice fed with red wine lived longer despite a fatty diet."
18,0,1,0.6468715071678162,Teenage sensation Wayne Rooney powered England into the quarter-finals of Euro 2004 with two goals in Monday's 4-2 defeat of Croatia and they were joined in the last eight by champions France who beat Switzerland 3-1. | France participates in Euro 2004.
21,0,1,0.8016959428787231,"Huckaby voluntarily submitted herself to questioning Friday night at the Tracy police station, and was arrested less than six hours later. She now resides in the San Joaquin County Jail without bond, awaiting an arraignment hearing on Tuesday. On April 6, the body of Sandra Cantu was discovered stuffed inside the 28-year-old's suitcase at the bottom of a pond a few miles away from her home. The two were neighbors in the Orchard Estates Mobile Home Park and Huckaby's own 5-year-old daughter often played with Cantu. Autopsy results are still pending. | Huckaby is accused of killing Sandra Cantu."
24,1,0,0.5821472406387329,"According to reports, a man protesting the G20 Summit in London, England has died after collapsing at a protester camp. Sky News says the man collapsed on the street inside a camp close to the Bank of England and when found he was still breathing, but efforts by paramedics to rescue him failed and he was pronounced dead at an area hospital. The name of the person and cause of death are not yet known, but several people were injured earlier in the day. It is also reported by Sky News that people threw bottles at him and authorities when they were taking him to a waiting ambulance. | Sky News offices are close to the Bank of England."
25,1,0,0.6721507906913757,"The San Diego Padres ace, Jake Peavy, was hurt in an 8-5 loss to the St. Louis Cardinals. | The San Diego Padres won the game against the St. Louis Cardinals."
26,1,0,0.5726956129074097,"Despite CNOOC's all-cash bid, Unocal said its recommendation to shareholders in favor of the $16.4 billion offer of cash and stock from Chevron remains in effect. | Unocal said it would evaluate the CNOOC offer."
