id,label,prediction,probability,input_text
1,0,1,0.5607006549835205,unflinchingly bleak and desperate 
4,0,1,0.5004620552062988,"it 's slow -- very , very slow . "
6,0,1,0.5891821384429932,a sometimes tedious film . 
9,0,1,0.5625972747802734,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . "
11,0,1,0.5715222358703613,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . "
12,0,1,0.5676556825637817,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 
19,0,1,0.5076586604118347,"in its best moments , resembles a bad high school production of grease , without benefit of song . "
20,0,1,0.5496786832809448,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . "
22,0,1,0.5164373517036438,holden caulfield did it better . 
26,0,1,0.5765087604522705,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . "
31,0,1,0.542193591594696,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . "
33,0,1,0.594062089920044,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . "
35,0,1,0.6331285834312439,a sequence of ridiculous shoot - 'em - up scenes . 
37,0,1,0.6221755146980286,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . "
44,0,1,0.5194790959358215,"the title not only describes its main characters , but the lazy people behind the camera as well . "
45,0,1,0.5594125390052795,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 
46,0,1,0.6440788507461548,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 
49,0,1,0.5160820484161377,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . 
50,0,1,0.5183418393135071,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . "
54,0,1,0.5734860897064209,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 
56,0,1,0.5277302861213684,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . 
57,0,1,0.5106021165847778,the cold turkey would 've been a far better title . 
58,0,1,0.6169009804725647,manages to be both repulsively sadistic and mundane . 
59,0,1,0.5244959592819214,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . "
64,0,1,0.5392379760742188,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . "
69,0,1,0.5093622207641602,"this one is definitely one to skip , even for horror movie fanatics . "
70,0,1,0.5928886532783508,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . "
76,0,1,0.522329568862915,the movie fails to live up to the sum of its parts . 
81,0,1,0.507610559463501,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . "
86,0,1,0.5201413631439209,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . "
90,1,0,0.5228410959243774,"it 's a scattershot affair , but when it hits its mark it 's brilliant . "
92,0,1,0.6023361682891846,"you wo n't like roger , but you will quickly recognize him . "
95,0,1,0.5990777015686035,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
96,0,1,0.6131981015205383,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . "
101,0,1,0.624157190322876,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . "
105,0,1,0.5161037445068359,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . "
110,0,1,0.6703078150749207,"scores no points for originality , wit , or intelligence . "
111,0,1,0.5059223771095276,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . "
115,0,1,0.6047335267066956,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.5771335363388062,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
119,0,1,0.5700927972793579,comes ... uncomfortably close to coasting in the treads of the bicycle thief . 
124,1,0,0.5554223656654358,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . "
126,0,1,0.5651904940605164,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . 
127,0,1,0.5250735878944397,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . "
130,0,1,0.6620845198631287,suffers from the lack of a compelling or comprehensible narrative . 
131,0,1,0.5527165532112122,"in execution , this clever idea is far less funny than the original , killers from space . "
133,0,1,0.6047337651252747,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . "
135,0,1,0.5594514608383179,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . "
136,0,1,0.6568440198898315,looks and feels like a project better suited for the small screen . 
137,0,1,0.5797581076622009,"forced , familiar and thoroughly condescending . "
139,0,1,0.5279291272163391,it 's not the ultimate depression-era gangster movie . 
140,0,1,0.6570841073989868,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . 
141,0,1,0.5678936243057251,the character of zigzag is not sufficiently developed to support a film constructed around him . 
142,1,0,0.5097177028656006,what better message than ` love thyself ' could young women of any size receive ? 
144,0,1,0.509915292263031,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . "
145,0,1,0.519997239112854,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 
147,0,1,0.6156144738197327,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . 
148,0,1,0.6205200552940369,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . 
157,0,1,0.5838550925254822,it takes talent to make a lifeless movie about the most heinous man who ever lived . 
158,0,1,0.5624240040779114,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . "
160,0,1,0.5632293820381165,"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . "
161,0,1,0.5246555209159851,not exactly the bees knees 
162,0,1,0.5130464434623718,"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . "
165,0,1,0.5711541771888733,may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . 
166,0,1,0.6617662310600281,"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . "
171,0,1,0.5896440744400024,rarely has leukemia looked so shimmering and benign . 
172,1,0,0.5022931694984436,it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . 
173,0,1,0.5030247569084167,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . "
176,0,1,0.5063738822937012,"delivers the same old same old , tarted up with latin flava and turned out by hollywood playas . "
182,0,1,0.5347115397453308,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . "
183,0,1,0.6085720062255859,"the lower your expectations , the more you 'll enjoy it . "
184,0,1,0.5311011672019958,"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining . "
187,1,0,0.5349392890930176,` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . ' 
188,0,1,0.550638735294342,"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment . "
197,0,1,0.5120765566825867,"for starters , the story is just too slim . "
203,0,1,0.6176689267158508,bad . 
208,0,1,0.5209477543830872,"and the lesson , in the end , is nothing new . "
211,0,1,0.5003021359443665,to say this was done better in wilder 's some like it hot is like saying the sun rises in the east . 
214,0,1,0.5284108519554138,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . "
217,0,1,0.5835748910903931,"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . "
218,0,1,0.6255297660827637,"all that 's missing is the spontaneity , originality and delight . "
224,1,0,0.5297155380249023,"nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun . "
233,0,1,0.5034317374229431,i 'd have to say the star and director are the big problems here . 
238,0,1,0.6020849943161011,"an occasionally funny , but overall limp , fish-out-of-water story . "
241,0,1,0.5463297963142395,it appears that something has been lost in the translation to the screen . 
247,0,1,0.581459105014801,"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . "
253,0,1,0.5918662548065186,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . "
254,0,1,0.5057583451271057,attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . 
256,0,1,0.551122784614563,rarely has so much money delivered so little entertainment . 
257,0,1,0.50957852602005,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . 
267,0,1,0.508621871471405,"it 's played in the most straight-faced fashion , with little humor to lighten things up . "
269,0,1,0.5534957647323608,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . "
272,0,1,0.5301902890205383,it 's like watching a nightmare made flesh . 
273,1,0,0.5053456425666809,"minority report is exactly what the title indicates , a report . "
274,0,1,0.5869209170341492,"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . "
281,0,1,0.5749810338020325,chokes on its own depiction of upper-crust decorum . 
284,0,1,0.6475985050201416,directed in a paint-by-numbers manner . 
285,0,1,0.5876664519309998,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . 
289,1,0,0.5121709704399109,cool ? 
292,0,1,0.6015476584434509,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . 
296,0,1,0.5900173187255859,its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . 
301,0,1,0.5256721377372742,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . "
305,0,1,0.6024137139320374,what was once original has been co-opted so frequently that it now seems pedestrian . 
312,0,1,0.5284496545791626,i 'll bet the video game is a lot more fun than the film . 
315,0,1,0.5904004573822021,"complete lack of originality , cleverness or even visible effort "
318,0,1,0.5584827065467834,hit and miss as far as the comedy goes and a big ole ' miss in the way of story . 
319,0,1,0.5347980856895447,too much of it feels unfocused and underdeveloped . 
321,0,1,0.5059797167778015,but it could have been worse . 
328,0,1,0.5741293430328369,an unwise amalgam of broadcast news and vibes . 
329,0,1,0.5531994104385376,"utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film . "
335,0,1,0.5110880136489868,"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here . "
337,0,1,0.5658101439476013,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . 
340,0,1,0.5316448211669922,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . "
346,0,1,0.5974480509757996,"not only unfunny , but downright repellent . "
347,0,1,0.6726602911949158,"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . "
348,0,1,0.5185537934303284,just one bad idea after another . 
349,0,1,0.5229507088661194,... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . 
350,0,1,0.573006808757782,"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . "
354,1,0,0.5118891000747681,"the film is quiet , threatening and unforgettable . "
355,0,1,0.5562942028045654,there is no pleasure in watching a child suffer . 
356,0,1,0.5428742170333862,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . "
357,0,1,0.5216774344444275,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . 
361,0,1,0.5579585433006287,"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . "
363,0,1,0.5038836598396301,it 's a grab bag of genres that do n't add up to a whole lot of sense . 
364,0,1,0.5944417715072632,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . "
365,0,1,0.5538256168365479,"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . "
368,0,1,0.5691425800323486,"the humor is forced and heavy-handed , and occasionally simply unpleasant . "
373,0,1,0.5489853620529175,not since freddy got fingered has a major release been so painful to sit through . 
375,1,0,0.6076545715332031,we have n't seen such hilarity since say it is n't so ! 
376,0,1,0.5198925137519836,to call the other side of heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be . 
378,0,1,0.5573227405548096,"feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot . "
379,0,1,0.5397535562515259,tries to add some spice to its quirky sentiments but the taste is all too familiar . 
382,0,1,0.5558063983917236,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . 
384,0,1,0.598689615726471,"at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential . "
385,0,1,0.5234416127204895,"while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these . "
390,0,1,0.5863873362541199,"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . "
391,0,1,0.5217530131340027,... plays like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller . 
392,0,1,0.5847154855728149,"an overemphatic , would-be wacky , ultimately tedious sex farce . "
399,0,1,0.5298027396202087,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . "
402,0,1,0.5512376427650452,"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust . "
403,0,1,0.5707976818084717,as vulgar as it is banal . 
405,0,1,0.602031946182251,"outer-space buffs might love this film , but others will find its pleasures intermittent . "
407,0,1,0.5664481520652771,more whiny downer than corruscating commentary . 
420,0,1,0.6115871071815491,"one of the more irritating cartoons you will see this , or any , year . "
423,0,1,0.5519271492958069,i am sorry that i was unable to get the full brunt of the comedy . 
432,0,1,0.5729160904884338,coughs and sputters on its own postmodern conceit . 
434,0,1,0.5288150906562805,almost gags on its own gore . 
436,0,1,0.65195631980896,"trite , banal , cliched , mostly inoffensive . "
440,1,0,0.5052576661109924,"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . "
441,0,1,0.5571829080581665,"there is very little dread or apprehension , and though i like the creepy ideas , they are not executed with anything more than perfunctory skill . "
442,0,1,0.5147621035575867,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy . 
446,0,1,0.5674527287483215,"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap . "
454,0,1,0.5858676433563232,"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . "
456,0,1,0.587852418422699,"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . "
461,0,1,0.5207406878471375,it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . 
463,0,1,0.5424866080284119,"some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny . "
465,0,1,0.5395147204399109,"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . "
471,0,1,0.5480698943138123,"adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . "
474,0,1,0.5360199213027954,the problem with this film is that it lacks focus . 
476,0,1,0.5436712503433228,involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters . 
477,0,1,0.5882470011711121,a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . 
478,0,1,0.5921580195426941,a by-the-numbers patient/doctor pic that covers all the usual ground 
487,0,1,0.5279027223587036,"( e ) ventually , every idea in this film is flushed down the latrine of heroism . "
490,0,1,0.5389599800109863,detox is ultimately a pointless endeavor . 
491,0,1,0.555458664894104,"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even ms. redgrave 's noblest efforts can redeem it from hopeless sentimentality . "
493,0,1,0.5314777493476868,this is so bad . 
494,0,1,0.5271190404891968,"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . "
501,1,0,0.5593920350074768,"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . "
502,0,1,0.5330657362937927,"deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness . "
512,0,1,0.6039936542510986,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . 
513,0,1,0.6379531621932983,"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . "
516,0,1,0.5451518893241882,plays like a volatile and overlong w magazine fashion spread . 
519,0,1,0.7014709115028381,moretti 's compelling anatomy of grief and the difficult process of adapting to loss . 
521,0,1,0.6217372417449951,"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . "
522,0,1,0.6029733419418335,"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death . "
536,0,1,0.6315732002258301,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers . "
539,0,1,0.6180092692375183,do not see this film . 
542,0,1,0.5832110643386841,there 's no emotional pulse to solaris . 
543,0,1,0.520885705947876,"for each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike tara reid , whose acting skills are comparable to a cardboard cutout . "
544,0,1,0.658784031867981,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . "
547,0,1,0.5956215858459473,"the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner . "
548,0,1,0.5671392679214478,"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . "
549,0,1,0.500004768371582,a coarse and stupid gross-out . 
550,0,1,0.5836317539215088,... nothing scary here except for some awful acting and lame special effects . 
551,0,1,0.5021721124649048,nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay . 
552,0,1,0.5024697780609131,here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep . 
555,0,1,0.5111586451530457,"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments . "
556,0,1,0.5004602670669556,but it 's too long and too convoluted and it ends in a muddle . 
560,0,1,0.5034143924713135,do n't be fooled by the impressive cast list - eye see you is pure junk . 
562,0,1,0.5676062107086182,scorsese does n't give us a character worth giving a damn about . 
566,0,1,0.5235844254493713,does little more than play an innocuous game of fill-in - the-blanks with a tragic past . 
571,0,1,0.5706064701080322,"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards . "
572,0,1,0.5062146782875061,the film 's tone and pacing are off almost from the get-go . 
574,0,1,0.5209044814109802,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . "
575,0,1,0.6367555260658264,"( director ) o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short . "
576,0,1,0.6458020210266113,"offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm . "
578,0,1,0.5224522352218628,just not campy enough 
579,0,1,0.6349086761474609,"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . "
580,0,1,0.5175005197525024,"it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that . "
581,0,1,0.5289162397384644,"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . "
582,0,1,0.5181115865707397,"despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults . "
584,0,1,0.5357565879821777,a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line . 
585,0,1,0.5624178051948547,"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . "
