id,label,prediction,probability,input_text
13,1,0,0.7849102020263672,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
26,0,1,0.68260258436203,"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . "
28,0,1,0.5356208682060242,"it 's a cookie-cutter movie , a cut-and-paste job . "
33,0,1,0.7279078364372253,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . "
37,0,1,0.7827100157737732,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . "
42,1,0,0.690584123134613,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . 
45,0,1,0.7281235456466675,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 
50,0,1,0.8734050393104553,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . "
57,0,1,0.5891007781028748,the cold turkey would 've been a far better title . 
62,1,0,0.7759010791778564,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 
64,0,1,0.741418719291687,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . "
69,0,1,0.6558535099029541,"this one is definitely one to skip , even for horror movie fanatics . "
70,0,1,0.8192455768585205,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . "
83,1,0,0.93340003490448,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . "
87,1,0,0.6192161440849304,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
88,1,0,0.6282181143760681,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 
89,1,0,0.644668698310852,"we know the plot 's a little crazy , but it held my interest from start to finish . "
93,1,0,0.5666404366493225,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 
95,0,1,0.8986487984657288,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
106,1,0,0.8532643914222717,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . 
112,1,0,0.9768053293228149,hilariously inept and ridiculous . 
