id,label,prediction,probability,input_text
13,1,0,0.7074183225631714,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
22,0,1,0.7821953892707825,holden caulfield did it better . 
33,0,1,0.5885064005851746,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . "
45,0,1,0.6291019320487976,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 
46,0,1,0.7335030436515808,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . 
50,0,1,0.8258441090583801,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . "
62,1,0,0.6542986631393433,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 
69,0,1,0.7262178063392639,"this one is definitely one to skip , even for horror movie fanatics . "
70,0,1,0.8203171491622925,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . "
83,1,0,0.9487664699554443,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . "
87,1,0,0.5420063734054565,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 
92,0,1,0.6979520916938782,"you wo n't like roger , but you will quickly recognize him . "
93,1,0,0.8034094572067261,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . 
95,0,1,0.9508082866668701,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . 
107,0,1,0.8478764295578003,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . 
112,1,0,0.9933521747589111,hilariously inept and ridiculous . 
115,0,1,0.9309978485107422,sam mendes has become valedictorian at the school for soft landings and easy ways out . 
118,0,1,0.5406600832939148,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . 
121,0,1,0.8226961493492126,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so 
123,1,0,0.8003119826316833,turns potentially forgettable formula into something strangely diverting . 
